,weights
APA,-0.004003546891955137
BA,-0.003761036799327767
BAX,-0.044123402510070145
BMY,-0.02371589979873954
CMCSA,-0.02117673559115713
CNP,0.008456924170537505
CPB,-0.010344677900564977
DE,0.02564174058456536
HPQ,0.003672699958062826
JCI,-0.00023718140298992853
JPM,0.028009714169425066
LUV,-0.013896342754896051
MMC,0.021188347623399516
MO,0.0035023364864151516
MSFT,0.03959467806362367
NI,0.01431861162864627
PCAR,0.021387920374307687
PSA,-0.006588397085000935
SEE,-0.01678051104264729
T,0.004444753119121792
TGT,0.000631557892266049
TMO,0.012011116261430909
TXT,-0.02239261035307832
VZ,-0.0251322377675455
ZION,0.009292179566170894
