,weights
APA,-0.025313650840089765
BAX,-0.03951471597768496
BMY,-0.01558430716441006
CMCSA,-0.015703074090375406
CPB,-0.023149490805856685
DE,0.008190405920837517
HPQ,-0.0016340792663991775
JCI,-0.0020844477378266398
JPM,0.06273070847249286
LUV,0.0008476911703749428
MMC,-0.000570613957942728
MO,0.028996199013108986
MSFT,0.02873197778508016
PCAR,0.02841567212154728
PSA,0.01622804372243204
SEE,-0.01612024102658348
TGT,-0.006553633649197697
TMO,-0.008812048769784135
TXT,-0.027269465966245042
ZION,0.00816907104652196
